MONTH,TEAM,SERVICE,DIVISION,COST
April,AAA,ECC,EAST,56
April,AAA,RDS,EAST,88
April,AAA,SSS,EAST,34
April,BBB,ECC,CENTRAL,86
April,BBB,RDS,CENTRAL,39
April,BBB,SSS,CENTRAL,89
April,CCC,ECC,WEST,12
April,CCC,RDS,WEST,15
April,CCC,SSS,WEST,69
April,DDD,ECC,EAST,50
April,DDD,RDS,EAST,59
April,DDD,SSS,EAST,56
April,EEE,ECC,CENTRAL,17
April,EEE,RDS,CENTRAL,66
April,EEE,SSS,CENTRAL,19
April,FFF,ECC,WEST,28
April,FFF,RDS,WEST,59
April,FFF,SSS,WEST,13
April,GGG,ECC,EAST,97
April,GGG,RDS,EAST,20
April,GGG,SSS,EAST,43
April,HHH,ECC,CENTRAL,57
April,HHH,RDS,CENTRAL,65
April,HHH,SSS,CENTRAL,75
April,III,ECC,WEST,52
April,III,RDS,WEST,94
April,III,SSS,WEST,77
April,JJJ,ECC,CENTRAL,71
April,JJJ,RDS,CENTRAL,68
April,JJJ,SSS,CENTRAL,11
May,AAA,ECC,EAST,85
May,AAA,RDS,EAST,69
May,AAA,SSS,EAST,65
May,BBB,ECC,CENTRAL,27
May,BBB,RDS,CENTRAL,37
May,BBB,SSS,CENTRAL,81
May,CCC,ECC,WEST,48
May,CCC,RDS,WEST,43
May,CCC,SSS,WEST,79
May,DDD,ECC,EAST,63
May,DDD,RDS,EAST,41
May,DDD,SSS,EAST,19
May,EEE,ECC,CENTRAL,94
May,EEE,RDS,CENTRAL,99
May,EEE,SSS,CENTRAL,88
May,FFF,ECC,WEST,21
May,FFF,RDS,WEST,64
May,FFF,SSS,WEST,61
May,GGG,ECC,EAST,41
May,GGG,RDS,EAST,92
May,GGG,SSS,EAST,87
May,HHH,ECC,CENTRAL,91
May,HHH,RDS,CENTRAL,18
May,HHH,SSS,CENTRAL,19
May,III,ECC,WEST,20
May,III,RDS,WEST,48
May,III,SSS,WEST,26
May,JJJ,ECC,CENTRAL,46
May,JJJ,RDS,CENTRAL,82
May,JJJ,SSS,CENTRAL,17
June,AAA,ECC,EAST,87
June,AAA,RDS,EAST,45
June,AAA,SSS,EAST,52
June,BBB,ECC,CENTRAL,73
June,BBB,RDS,CENTRAL,65
June,BBB,SSS,CENTRAL,75
June,CCC,ECC,WEST,15
June,CCC,RDS,WEST,86
June,CCC,SSS,WEST,32
June,DDD,ECC,EAST,57
June,DDD,RDS,EAST,47
June,DDD,SSS,EAST,66
June,EEE,ECC,CENTRAL,86
June,EEE,RDS,CENTRAL,14
June,EEE,SSS,CENTRAL,76
June,FFF,ECC,WEST,86
